"","Regio's","x 1 000","%","1 000 euro...4","1 000 euro...5","1 000 euro...6","1 000 euro...7"
"1","Groningen (PV)",2879,100,274,252,383,319
"2","Fryslân (PV)",2926,100,295,272,426,362
"3","Drenthe (PV)",2185,100,309,283,449,385
"4","Overijssel (PV)",5039,100,307,280,453,384
"5","Flevoland (PV)",1754,100,315,292,470,414
"6","Gelderland (PV)",9223,100,317,288,464,391
"7","Utrecht (PV)",6040,100,345,308,504,415
"8","Noord-Holland (PV)",13553,100,341,292,484,378
"9","Zuid-Holland (PV)",16918,100,322,286,463,374
"10","Zeeland (PV)",1745,100,315,287,453,384
"11","Noord-Brabant (PV)",11470,100,326,294,475,397
"12","Limburg (PV)",5212,100,303,275,432,361
"13","Bron: CBS",NA,NA,NA,NA,NA,NA
