"Bestaande koopwoningen; gemiddelde verkoopprijzen, regio"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"1995";"2000";"2005";"2010";"2015";"2020";"2021";"2022";"2023";"2024";"2025"
"Arnhem";"Gemiddelde verkoopprijs";"euro";"80240";"149386";"188779";"204498";"199528";"279571";"344738";"383699";"369114";"403201";"407247"
"Assen";"Gemiddelde verkoopprijs";"euro";"75013";"120177";"168939";"186206";"183838";"250572";"301082";"330027";"334100";"361465";"376755"
"'s-Gravenhage (gemeente)";"Gemiddelde verkoopprijs";"euro";"74053";"135368";"195514";"227616";"231302";"355807";"411717";"454312";"413689";"447417";"465418"
"Groningen (gemeente)";"Gemiddelde verkoopprijs";"euro";"62635";"99943";"164280";"180217";"177441";"278720";"321804";"353917";"349931";"373411";"396626"
"Haarlem";"Gemiddelde verkoopprijs";"euro";"83039";"163672";"227984";"267413";"268197";"447447";"507862";"561362";"507289";"548843";"576569"
"'s-Hertogenbosch";"Gemiddelde verkoopprijs";"euro";"100092";"191688";"246806";"261128";"253262";"371124";"412222";"463836";"443955";"478097";"506467"
"Leeuwarden";"Gemiddelde verkoopprijs";"euro";"56599";"95702";"143596";"162912";"157690";"230738";"262188";"287719";"294731";"310226";"319443"
"Lelystad";"Gemiddelde verkoopprijs";"euro";"80373";"131274";"174333";"193575";"179997";"273122";"332187";"380395";"372216";"405965";"426903"
"Maastricht";"Gemiddelde verkoopprijs";"euro";"96899";"162594";"210951";"222775";"221578";"316733";"353620";"369617";"374547";"394938";"413671"
"Middelburg (Z.)";"Gemiddelde verkoopprijs";"euro";"88136";"123880";"214129";"206310";"193782";"271151";"321374";"336663";"345346";"376819";"393274"
"Utrecht (gemeente)";"Gemiddelde verkoopprijs";"euro";"85568";"165717";"219305";"252064";"245900";"405791";"469949";"510980";"474406";"519924";"549113"
"Zwolle";"Gemiddelde verkoopprijs";"euro";"84813";"155551";"206170";"223622";"218349";"315874";"363081";"414535";"410024";"450763";"450913"
"Bron: Centraal Bureau voor de Statistiek, Kadaster"
