"","X.4","X.3","X.2","X.1","X","Regio.s","x.1.000","X.","X1.000.euro...4","X1.000.euro...5","X1.000.euro...6","X1.000.euro...7"
"1",1,1,1,1,1,"Groningen (PV)",2867,100,265,241,370,307
"2",2,2,2,2,2,"Fryslân (PV)",2905,100,289,261,417,350
"3",3,3,3,3,3,"Drenthe (PV)",2170,100,300,272,436,372
"4",4,4,4,4,4,"Overijssel (PV)",4995,100,300,269,442,370
"5",5,5,5,5,5,"Flevoland (PV)",1724,100,307,280,458,398
"6",6,6,6,6,6,"Gelderland (PV)",9142,100,312,276,457,377
"7",7,7,7,7,7,"Utrecht (PV)",5982,100,339,296,496,398
"8",8,8,8,8,8,"Noord-Holland (PV)",13435,100,337,282,479,365
"9",9,9,9,9,9,"Zuid-Holland (PV)",16757,100,318,275,457,360
"10",10,10,10,10,10,"Zeeland (PV)",1739,100,309,276,444,371
"11",11,11,11,11,11,"Noord-Brabant (PV)",11365,100,322,283,470,383
"12",12,12,12,12,12,"Limburg (PV)",5192,100,298,265,424,350
"13",13,13,13,13,13,"Bron: CBS",NA,NA,NA,NA,NA,NA
